Players,Opening,Result,Moves,Year
Paul Morphy (2690) Adolf Anderssen (2600),"1. e4 e6 2. d4 g6 3. Bd3 Bg7 French Defense: Normal Variation
                          ",1-0,36,1858
Paul Morphy (2690) Johann Lowenthal (2510),"1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 Petrov's Defense: Classical, Cozio Attack, 5...Qe7 6.d3 Nf6
                          ",1-0,55,0
Paul Morphy (2690) Johann Lowenthal (2510),"1. e4 e5 2. f4 Bc5 3. Nf3 d6 King's Gambit Declined: Classical Variation, 3.Nf3 d6 4.c3 Bg4
                          ",1-0,28,1858
Paul Morphy (2690) Louis Paulsen (2550),"1. e4 c5 2. Nf3 e6 3. d4 cxd4 Sicilian Defense: Paulsen-Basman Defense
                          ",1-0,64,1857
Paul Morphy (2690) Henri Baucher,"1. e4 e5 2. Nf3 d6 3. d4 exd4 Ruy López Opening: Old Steinitz Defense, 4.d4 exd4 5.Qxd4
                          ",1-0,29,0
Paul Morphy (2690) C A Seguin,"1. e4 e5 2. Nf3 d6 3. d4 exd4 Philidor Defense: Exchange Variation, 4.Nxd4 Nf6 5.Nc3 Be7
                          ",1-0,47,0
Paul Morphy (2690) Jean-Louis Preti,"1. e4 c5 2. d4 cxd4 3. Nf3 e5 Sicilian Defense: Smith-Morra, Morphy Gambit, 3...e5
                          ",1-0,25,0
Paul Morphy (2690) Frederic Deacon,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, Pierce, Anderssen Defense
                          ",1-0,38,0
Paul Morphy (2690) James Thompson,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, Slow Variation, 6...Nf6
                          ",1-0,17,0
Paul Morphy (2690) NN,"1. e4 e5 2. f4 exf4 3. Nf3 g5 King's Gambit Accepted: Ghulam Kassim Gambit, 5...gxf3 6.Qxf3
                          ",1-0,20,0
Paul Morphy (2690) Otho Michaelis,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense, Morphy Attack
                          ",1-0,51,0
Paul Morphy (2690) A Bousserolles,"1. e4 e5 2. Nf3 Nc6 3. Bc4 h6 Italian Game: Anti-Fried Liver Defense
                          ",1-0,31,0
Paul Morphy (2690) NN,"1. e4 e6 2. f4 d5 3. e5 Ne7 French Defense: La Bourdonnais Variation, 2...d5
                          ",1-0,33,1859
Paul Morphy (2690) Augustus Mongredien,"1. e4 e5 2. Nf3 d5 3. exd5 e4 King's Pawn Opening: King's Knight, Elephant, Paulsen Countergambit
                          ",1-0,22,1859
Paul Morphy (2690) George Maude,"1. e4 e5 2. Bc4 Nf6 3. Nf3 Nc6 Italian Game: Knight Attack, Polerio, Kieseritzky Variation
                          ",1-0,34,0
Paul Morphy (2690) Moncure Daniel Conway,"1. e4 e5 2. f4 exf4 3. Nf3 g5 King's Gambit Accepted: Ghulam Kassim Gambit, 5...gxf3 6.Qxf3
                          ",1-0,12,1859
Paul Morphy (2690) NN,"1. e4 e5 2. f4 exf4 3. Nf3 g5 King's Gambit Accepted: Ghulam Kassim Gambit, 5...gxf3 6.Qxf3
                          ",1-0,18,1860
Paul Morphy (2690) Samuel Smyth,"1. e4 e6 2. d4 d5 3. exd5 exd5 French Defense: Exchange Variation, 3...exd5 4.Nf3
                          ",1-0,36,0
Paul Morphy (2690) Arthur Napoleao dos Santos,"1. e4 e5 2. f4 Bc5 3. Nf3 Nc6 King's Gambit Declined: Classical Variation, 3.Nf3
                          ",1-0,34,0
Paul Morphy (2690) Jules Arnous de Riviere (2450),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense, Morphy Attack, 9...Bg4
                          ",1-0,40,0
Paul Morphy (2690) Placido Dominguez,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 Italian Game: Max Lange Attack, 6.e5
                          ",1-0,20,0
Paul Morphy (2690) Charles Maurian,"1. e4 e5 2. f4 exf4 3. Nf3 g5 King's Gambit Accepted: Ghulam Kassim Gambit, 5...gxf3 6.Qxf3
                          ",1-0,16,1866
Paul Morphy (2690) Charles Maurian,"1. e4 e5 2. f4 exf4 3. Nf3 g5 King's Gambit Accepted: Ghulam Kassim Gambit, 5...gxf3 6.Qxf3
                          ",1-0,18,1866
Paul Morphy (2690) Jules Arnous de Riviere (2450),"1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 Ruy López Opening: Berlin, Improved Steinitz Defense, 5.d4
                          ",1-0,64,0
Paul Morphy (2690) Charles Maurian,"1. f4 e6 2. Nf3 g6 3. e3 Bg7 Bird's Opening
                          ",1-0,19,0
Paul Morphy (2690) Ernest Morphy,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, Pierce Defense, 7.O-O
                          ",1-0,25,0
Paul Morphy (2690) Alphonse Perrin,"1. e4 e5 2. f4 exf4 3. Nf3 d5 King's Gambit Accepted: Modern Defense, 4.exd5
                          ",1-0,21,0
Paul Morphy (2690) Alphonse Perrin,"1. e4 e6 2. f4 d5 3. e5 Nc6 French Defense: La Bourdonnais Variation, 2...d5
                          ",1-0,25,0
Paul Morphy (2690) NN,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, Pierce, Anderssen Defense
                          ",1-0,18,1857
Paul Morphy (2690) Theodore Lichtenhein,"1. e4 c5 2. f4 e5 3. Nf3 Nc6 King's Gambit Declined: Mafia Defense
                          ",1-0,20,0
Paul Morphy (2690) George Hammond,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, Pierce Defense, 7.O-O
                          ",1-0,26,0
Paul Morphy (2690) Theodore Lichtenhein,"1. e4 e5 2. Nf3 Nf6 3. Bc4 Nxe4 Vienna Game: Frankenstein-Dracula, Boden-Kieseritzky, Lichtenhein Defense
                          ",1-0,29,1857
Paul Morphy (2690) John W Schulten (2335),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense, Main Line, 9.d5
                          ",1-0,39,0
Paul Morphy (2690) John W Schulten (2335),"1. e4 e5 2. f4 exf4 3. Nf3 g5 King's Gambit Accepted: Traditional, Hanstein Gambit
                          ",1-0,49,1857
Paul Morphy (2690) NN,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, Pierce Defense, 7.O-O
                          ",1-0,29,0
Paul Morphy (2690) Charles Maurian,"1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ King's Gambit Accepted: Bishop's Gambit, Bryan Countergambit
                          ",1-0,26,0
Paul Morphy (2690) NN,"1. e4 e5 2. Bc4 Bc5 3. d4 exd4 Bishop's Opening: Boi, Lewis Gambit
                          ",1-0,25,0
Paul Morphy (2690) Samuel S Boden (2470),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Gambit Declined, 5.a4 a6
                          ",1-0,53,0
Paul Morphy (2690) A Bottin,"1. e4 e5 2. c3 Nf6 3. d4 Nxe4 King's Pawn Opening: MacLeod Attack
                          ",1-0,29,0
Paul Morphy (2690) Jules Arnous de Riviere (2450),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense, Morphy Attack
                          ",1-0,26,0
Paul Morphy (2690) Frederic Deacon,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, Pierce, Anderssen Defense
                          ",1-0,33,0
Paul Morphy (2690) Samuel S Boden (2470),"1. e4 e5 2. Nf3 Nc6 3. d4 exd4 Scotch Game: Scotch Gambit, Haxo Gambit, 5.O-O d6 6.c3
                          ",1-0,38,0
Paul Morphy (2690) Frederic Hyman Lewis,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Gambit Declined
                          ",1-0,28,0
Paul Morphy (2690) Thomas Herbert Worrall,"1. e4 d6 2. f4 Nc6 3. Nf3 Bg4 Pirc Defense: Harmonist Variation
                          ",1-0,16,1858
Paul Morphy (2690) NN,"1. e4 e5 2. f4 exf4 3. Nf3 g5 King's Gambit Accepted: Ghulam Kassim Gambit, 5...gxf3
                          ",1-0,19,1858
Paul Morphy (2690) NN,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 Italian Game: Two Knights, Perreux Variation
                          ",1-0,23,0
Paul Morphy (2690) NN,"1. e4 e5 2. f4 exf4 3. Nf3 c6 King's Gambit Accepted: King's Knight Gambit
                          ",1-0,23,1858
Paul Morphy (2690) NN,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense
                          ",1-0,33,0
Paul Morphy (2690) James McConnell,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense, Main Line, 9.d5
                          ",1-0,22,0
Paul Morphy (2690) James Kipping,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, Slow Variation, Waller Attack
                          ",1-0,30,0
Paul Morphy (2690) John Rhodes,"1. e4 e5 2. f4 Bc5 3. Nf3 Nc6 King's Gambit Declined: Classical Variation, 3.Nf3
                          ",1-0,28,1858
Paul Morphy (2690) George Webb Medley,"1. e4 e5 2. f4 exf4 3. Nf3 g5 King's Gambit Accepted: Kieseritzky, Berlin, Anderssen Defense, 8.d4 Nh5
                          ",1-0,23,1858
Paul Morphy (2690) Jabez Carr,"1. e4 h6 2. d4 a5 3. Bd3 b6 King's Pawn Opening: Carr Defense, 2.d4
                          ",1-0,23,0
Paul Morphy (2690) NN,"1. e4 e5 2. h3 d5 3. exd5 Bc5 King's Pawn Opening: 1...e5
                          ",1-0,19,0
Paul Morphy (2690) Alonzo Morphy,"1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ King's Gambit Accepted: Bishop's Gambit, Greco Variation
                          ",1-0,18,1848
Paul Morphy (2690) James McConnell,"1. e4 e5 2. f4 exf4 3. Nf3 Be7 King's Gambit Accepted: Cunningham Defense, 4.Bc4 Bh4+
                          ",1-0,11,1849
Paul Morphy (2690) NN,"1. e4 e5 2. f4 exf4 3. Nf3 g5 King's Gambit Accepted: Kieseritzky, Long Whip Defense, 6.Bc4
                          ",1-0,20,1849
Paul Morphy (2690) Charles Le Carpentier,"1. e4 e5 2. Nf3 Nc6 3. d4 exd4 Scotch Game: Scotch Gambit, London Defense, 5.c3 dxc3 6.O-O cxb2 7.Bxb2
                          ",1-0,13,0
Paul Morphy (2690) Alonzo Morphy,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense, 6.d4 exd4 7.cxd4
                          ",1-0,15,0
Paul Morphy (2690) NN,"1. e4 e5 2. Nf3 Nc6 3. d4 Nxd4 Scotch Game: Lolli Variation, 4.Nxe5 Ne6 5.Bc4
                          ",1-0,14,1850
Paul Morphy (2690) James McConnell,"1. e4 e5 2. Nf3 Qf6 3. Nc3 c6 King's Pawn Opening: King's Knight, McConnell Defense
                          ",1-0,23,0
Paul Morphy (2690) Alonzo Morphy,"1. e4 e5 2. Bc4 f5 3. exf5 Nf6 Bishop's Opening: Calabrese Countergambit
                          ",1-0,31,0
Paul Morphy (2690) Alonzo Morphy,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense, 6.d4 exd4 7.cxd4
                          ",1-0,46,0
Paul Morphy (2690) Charles Maurian,"1. e4 e5 2. Bc4 Bc5 3. d4 Bxd4 Bishop's Opening: Boi, Lewis Gambit
                          ",1-0,16,0
Paul Morphy (2690) NN,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 Italian Game: Fried Liver, Fegatello Attack, Polerio Defense
                          ",1-0,18,0
Paul Morphy (2690) Charles Maurian,"1. e4 e6 2. f4 d5 3. e5 Ne7 French Defense: La Bourdonnais Variation, 2...d5
                          ",1-0,25,0
Paul Morphy (2690) NN,"1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ King's Gambit Accepted: Bishop's Gambit, Lopez Variation, 5.Nc3 Bg7 6.d4
                          ",1-0,20,1856
Paul Morphy (2690) Alexander Beaufort Meek,"1. e4 e5 2. f4 exf4 3. Nf3 g5 King's Gambit Accepted: Traditional, Philidor Gambit
                          ",1-0,19,1855
Paul Morphy (2690) Theodor Knight,"1. e4 e5 2. f4 exf4 3. Nf3 g5 King's Gambit Accepted: King's Knight Gambit, 3...g5 4.Bc4
                          ",1-0,17,1856
Paul Morphy (2690) Hart,"1. e4 e5 2. Nf3 Nc6 3. d4 exd4 Scotch Game: Scotch Gambit
                          ",1-0,23,0
Paul Morphy (2690) NN,"1. e4 e5 2. Nc3 Nc6 3. Bc4 Bc5 Vienna Game: Max Lange Defense, 3.Bc4 Bc5
                          ",1-0,22,0
Paul Morphy (2690) Charles Maurian,"1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ King's Gambit Accepted: Bishop's Gambit, Bryan Countergambit
                          ",0-1,12,1855
Paul Morphy (2690) Kipping J,"1. e4 e5 2. Nf3 Nc6 3. d4 exd4 Scotch Game: Scotch Gambit, Haxo Gambit, 5.O-O d6 6.c3
                          ",0-1,29,1858
Paul Morphy (2690) Thomas Wilson Barnes (2410),"1. e4 f6 2. d4 e6 3. Bd3 Ne7 King's Pawn Opening: Barnes Defense, 2.d4
                          ",0-1,50,1858
Paul Morphy (2690) Thomas Wilson Barnes (2410),"1. e4 e5 2. f4 Bc5 3. Nf3 d6 King's Gambit Declined: Classical, Rotlewi Countergambit
                          ",0-1,53,1858
Paul Morphy (2690) Johann Lowenthal (2510),"1. e4 e5 2. Nf3 d6 3. d4 exd4 Philidor Defense: Exchange, Boden Variation
                          ",0-1,59,1858
Paul Morphy (2690) John Owen (2380),"1. e4 b6 2. d4 Bb7 3. Bd3 e6 King's Pawn Opening: Owen's Defense, 2.d4 Bb7 3.Bd3
                          ",0-1,46,1858
Paul Morphy (2690) Adolf Anderssen (2600),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, Pierce, Anderssen Defense
                          ",0-1,72,1858
Paul Morphy (2690) Daniel Harrwitz (2520),"1. e4 e5 2. Nf3 d6 3. d4 exd4 Ruy López Opening: Old Steinitz Defense, 4.d4 exd4 5.Qxd4
                          ",0-1,37,1858
Paul Morphy (2690) Thomas Wilson Barnes (2410),"1. e4 e5 2. Nf3 Nf6 3. Bc4 Nxe4 Vienna Game: Frankenstein-Dracula, Boden-Kieseritzky Gambit
                          ",0-1,38,1859
Paul Morphy (2690) Jules Arnous de Riviere (2450),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense, Main Line, 9.d5
                          ",0-1,44,1859
Paul Morphy (2690) Jules Arnous de Riviere (2450),"1. e4 e5 2. f4 exf4 3. Nf3 g5 King's Gambit Accepted: Traditional, Hanstein Gambit, 5...h6
                          ",0-1,56,1863
Paul Morphy (2690) Johann Lowenthal (2510),"1. e4 e5 2. Nf3 d6 3. d4 exd4 Philidor Defense: Exchange Variation, 4.Qxd4
                          ",0-1,41,0
Paul Morphy (2690) Johann Lowenthal (2510),"1. e4 e5 2. Nf3 d6 3. d4 exd4 Philidor Defense: Exchange, Boden Variation
                          ",0-1,59,1858
Paul Morphy (2690) Otho Michaelis,"1. e4 e5 2. Nf3 d6 3. d4 exd4 Philidor Defense: Exchange Variation, 4.Nxd4
                          ",0-1,39,0
Paul Morphy (2690) Celso Golmayo y Zupide (2380),"1. e4 e5 2. f4 exf4 3. Nf3 g5 King's Gambit Accepted: Traditional, Hanstein Gambit
                          ",0-1,19,1864
Paul Morphy (2690) Charles Maurian,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, Slow Variation, Richardson Attack
                          ",0-1,31,1867
Paul Morphy (2690) Charles Maurian,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, Slow Variation, 6...Nf6
                          ",0-1,23,1869
Paul Morphy (2690) Charles Maurian,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Gambit Declined, 5.a4 a6
                          ",0-1,69,0
Paul Morphy (2690) Charles Maurian,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, Pierce, Dufresne Defense
                          ",0-1,35,1858
Paul Morphy (2690) John Owen (2380),"1. e4 b6 2. d4 Bb7 3. Bd3 e6 King's Pawn Opening: Owen's Defense, 2.d4 Bb7 3.Bd3
                          ",0-1,46,0
Paul Morphy (2690) Charles Maurian,"1. e4 e6 2. f4 d5 3. e5 c5 French Defense: La Bourdonnais Variation, 2...d5
                          ",0-1,27,0
Paul Morphy (2690) Charles Maurian,"1. e4 e5 2. f4 exf4 3. Bc4 Qh4+ King's Gambit Accepted: Bishop's Gambit, Bryan Countergambit
                          ",0-1,12,0
Paul Morphy (2690) Charles Maurian,"1. e4 c5 2. f4 Nc6 3. Nf3 e6 Sicilian Defense: McDonnell Attack, 2...Nc6 3.Nf3 e6
                          ",0-1,39,0
Paul Morphy (2690) Johann Lowenthal (2510),"1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 Petrov's Defense: Classical, Cozio Attack, 5...Qe7 6.d3 Nf6
                          ",½-½,58,1850
Paul Morphy (2690) Louis Paulsen (2550),"1. e4 c5 2. Nf3 e6 3. d4 cxd4 Sicilian Defense: Paulsen-Basman Defense
                          ",½-½,36,1857
Paul Morphy (2690) Louis Paulsen (2550),"1. e4 e5 2. Nf3 d5 3. exd5 e4 King's Pawn Opening: King's Knight, Elephant, Paulsen Countergambit
                          ",½-½,50,1857
Paul Morphy (2690) Avery R W,"1. e4 c5 2. d4 cxd4 3. Nf3 Nc6 Sicilian Defense: Taimanov Variation
                          ",½-½,33,1858
Paul Morphy (2690) Samuel S Boden (2470),"1. e4 e5 2. Nf3 Nc6 3. Bb5 Bc5 Ruy López Opening: Classical, Central Variation, Boden Variation
                          ",½-½,57,1858
Paul Morphy (2690) Johann Lowenthal (2510),"1. e4 e5 2. f4 exf4 3. Bc4 d5 King's Gambit Accepted: Bishop's Gambit, Bledow Variation, 4.Bxd5 Nf6
                          ",½-½,20,1858
Paul Morphy (2690) Guibert,"1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 Scandinavian Defense: Mieses-Kotrč Variation, 3.Nc3 Qd8
                          ",½-½,42,1858
Paul Morphy (2690) Lequesne,"1. e4 b6 2. d4 Bb7 3. Bd3 e6 King's Pawn Opening: Owen's Defense, 2.d4 Bb7 3.Bd3
                          ",½-½,32,1858
Paul Morphy (2690) Thomas Wilson Barnes (2410),"1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 Petrov's Defense: Classical Attack, Marshall Variation, 7.O-O O-O 8.c4
                          ",½-½,31,1859
Paul Morphy (2690) Samuel S Boden (2470),"1. e4 e5 2. Nf3 Nc6 3. d4 exd4 Scotch Game: Scotch Gambit, Haxo Gambit, 5.O-O d6 6.c3
                          ",½-½,51,1859
Paul Morphy (2690) Greenaway,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, Pierce, Anderssen Defense
                          ",½-½,28,1859
Paul Morphy (2690) Jannsen,"1. e4 e5 2. f4 c6 3. Nc3 d6 King's Gambit
                          ",½-½,27,1859
Paul Morphy (2690) Lord Hay,"1. e4 e5 2. f4 d5 3. exd5 e4 King's Gambit Declined: Falkbeer Accepted, Staunton Line, 4.Nc3
                          ",½-½,32,1859
Paul Morphy (2690) Medley,"1. e4 e5 2. Nf3 Nc6 3. d4 exd4 Scotch Game: Scotch Gambit, Haxo Gambit, 5.O-O d6 6.c3
                          ",½-½,27,1859
Paul Morphy (2690) Mongredien O,"1. e4 c5 2. d4 Nc6 3. d5 Nb8 Sicilian Defense: Smith-Morra Gambit
                          ",½-½,28,1859
Paul Morphy (2690) Slous F,"1. e4 e5 2. Nf3 d6 3. d4 exd4 Philidor Defense: Exchange Variation, 4.Nxd4
                          ",½-½,30,1859
Paul Morphy (2690) Thrupp,"1. e4 e5 2. f4 c5 3. Nf3 d6 King's Gambit Declined: Mafia Defense
                          ",½-½,30,1859
Paul Morphy (2690) George Walker (2360),"1. e4 e6 2. d4 d5 3. exd5 exd5 French Defense: Exchange Variation, 3...exd5 4.Bd3 Bd6 5.Nf3 Nf6
                          ",½-½,26,1859
Paul Morphy (2690) Johann Lowenthal (2510),"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense, Main Line, 9.d5
                          ",½-½,44,1859
Paul Morphy (2690) George Walker (2360),"1. e4 e6 2. d4 d5 3. exd5 exd5 French Defense: Exchange Variation, 3...exd5 4.Bd3 Bd6 5.Nf3 Nf6
                          ",½-½,26,0
Paul Morphy (2690) Augustus Mongredien,"1. e4 c5 2. d4 Nc6 3. d5 Nb8 Sicilian Defense: Smith-Morra Gambit
                          ",½-½,29,0
Paul Morphy (2690) John Thrupp,"1. e4 e5 2. f4 c5 3. Nf3 d6 King's Gambit Declined: Mafia Defense
                          ",½-½,31,1859
Paul Morphy (2690) Hiram Kennicott,"1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 Giuoco Piano Game: Evans Accepted, McDonnell Defense
                          ",½-½,18,1857
Paul Morphy (2690) Charles Maurian,"1. e4 e5 2. Nf3 Nc6 3. d4 exd4 Scotch Game: Scotch Gambit, Haxo Gambit, 5.O-O
                          ",½-½,46,0
Adolf Anderssen (2600) Paul Morphy (2690),"1. e4 e5 2. f4 exf4 3. Nf3 g5 King's Gambit Accepted: Kieseritzky, Berlin, de Rivière Variation
                          ",1-0,32,1858
Adolf Anderssen (2600) Paul Morphy (2690),"1. a3 e5 2. c4 Nf6 3. Nc3 d5 Anderssen Opening: 1...e5
                          ",1-0,77,1858
Adolf Anderssen (2600) Paul Morphy (2690),"1. a3 e5 2. c4 Nf6 3. Nc3 d5 Anderssen Opening: 1...e5
                          ",1-0,77,1858
Adolf Anderssen (2600) Paul Morphy (2690),"1. e4 e5 2. f4 exf4 3. Bc4 Nf6 King's Gambit Accepted: Bishop's Gambit, Cozio Defense
                          ",0-1,35,1858
Adolf Anderssen (2600) Paul Morphy (2690),"1. e4 e5 2. f4 exf4 3. Nf3 g5 King's Gambit Accepted: Kieseritzky, Berlin, de Rivière Variation
                          ",0-1,24,1858
Adolf Anderssen (2600) Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 Ruy López Opening: Morphy Defense, Anderssen Variation
                          ",0-1,51,1858
Adolf Anderssen (2600) Paul Morphy (2690),"1. a3 e5 2. c4 Nf6 3. Nc3 d5 Anderssen Opening: 1...e5
                          ",0-1,42,1858
Adolf Anderssen (2600) Paul Morphy (2690),"1. e4 e5 2. f4 exf4 3. Bc4 Nf6 King's Gambit Accepted: Bishop's Gambit, Cozio Defense
                          ",0-1,35,0
Adolf Anderssen (2600) Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 Ruy López Opening: Morphy Defense, Anderssen Variation
                          ",0-1,51,1858
Adolf Anderssen (2600) Paul Morphy (2690),"1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 Ruy López Opening: Morphy Defense, Anderssen Variation
                          ",½-½,44,1858
Adolf Anderssen (2600) Paul Morphy (2690),"1. a3 e5 2. c4 Nf6 3. Nc3 d5 Anderssen Opening: 1...e5
                          ",½-½,51,1858
